image_path,label,connector_name
/content/drive/MyDrive/Project Work/Data/connectors/conn1/20251106110559_TOP.png,OK,conn1
/content/drive/MyDrive/Project Work/Data/connectors/conn2/20251106110559_TOP.png,OK,conn2
/content/drive/MyDrive/Project Work/Data/connectors/conn3/20251106110559_TOP.png,OK,conn3
/content/drive/MyDrive/Project Work/Data/connectors/conn4/20251106110559_TOP.png,OCCLUSION,conn4
/content/drive/MyDrive/Project Work/Data/connectors/conn5/20251106110559_TOP.png,OK,conn5
/content/drive/MyDrive/Project Work/Data/connectors/conn6/20251106110559_TOP.png,OCCLUSION,conn6
/content/drive/MyDrive/Project Work/Data/connectors/conn7/20251106110559_TOP.png,OK,conn7
/content/drive/MyDrive/Project Work/Data/connectors/conn8/20251106110559_TOP.png,OK,conn8
/content/drive/MyDrive/Project Work/Data/connectors/conn9/20251106110559_TOP.png,OK,conn9
/content/drive/MyDrive/Project Work/Data/connectors/conn1/20251106110633_TOP.png,OK,conn1
/content/drive/MyDrive/Project Work/Data/connectors/conn2/20251106110633_TOP.png,OK,conn2
/content/drive/MyDrive/Project Work/Data/connectors/conn3/20251106110633_TOP.png,OK,conn3
/content/drive/MyDrive/Project Work/Data/connectors/conn4/20251106110633_TOP.png,OK,conn4
/content/drive/MyDrive/Project Work/Data/connectors/conn5/20251106110633_TOP.png,OK,conn5
/content/drive/MyDrive/Project Work/Data/connectors/conn6/20251106110633_TOP.png,OK,conn6
/content/drive/MyDrive/Project Work/Data/connectors/conn7/20251106110633_TOP.png,OK,conn7
/content/drive/MyDrive/Project Work/Data/connectors/conn8/20251106110633_TOP.png,OK,conn8
/content/drive/MyDrive/Project Work/Data/connectors/conn9/20251106110633_TOP.png,OCCLUSION,conn9
/content/drive/MyDrive/Project Work/Data/connectors/conn1/20251106110712_TOP.png,OK,conn1
/content/drive/MyDrive/Project Work/Data/connectors/conn2/20251106110712_TOP.png,OK,conn2
/content/drive/MyDrive/Project Work/Data/connectors/conn3/20251106110712_TOP.png,OK,conn3
/content/drive/MyDrive/Project Work/Data/connectors/conn4/20251106110712_TOP.png,OCCLUSION,conn4
/content/drive/MyDrive/Project Work/Data/connectors/conn5/20251106110712_TOP.png,OK,conn5
/content/drive/MyDrive/Project Work/Data/connectors/conn6/20251106110712_TOP.png,OK,conn6
/content/drive/MyDrive/Project Work/Data/connectors/conn7/20251106110712_TOP.png,OK,conn7
/content/drive/MyDrive/Project Work/Data/connectors/conn8/20251106110712_TOP.png,OK,conn8
/content/drive/MyDrive/Project Work/Data/connectors/conn9/20251106110712_TOP.png,OK,conn9
/content/drive/MyDrive/Project Work/Data/connectors/conn1/20251106110746_TOP.png,OK,conn1
/content/drive/MyDrive/Project Work/Data/connectors/conn2/20251106110746_TOP.png,OK,conn2
/content/drive/MyDrive/Project Work/Data/connectors/conn3/20251106110746_TOP.png,OK,conn3
/content/drive/MyDrive/Project Work/Data/connectors/conn4/20251106110746_TOP.png,OCCLUSION,conn4
/content/drive/MyDrive/Project Work/Data/connectors/conn5/20251106110746_TOP.png,OCCLUSION,conn5
/content/drive/MyDrive/Project Work/Data/connectors/conn6/20251106110746_TOP.png,OK,conn6
/content/drive/MyDrive/Project Work/Data/connectors/conn7/20251106110746_TOP.png,OK,conn7
/content/drive/MyDrive/Project Work/Data/connectors/conn8/20251106110746_TOP.png,OK,conn8
/content/drive/MyDrive/Project Work/Data/connectors/conn9/20251106110746_TOP.png,OK,conn9
